=== MAP GENERATION DATA ===

--- STATIONS ---
BFP (bfpbuilding): Grid (23, 31) | Pixels (4416, 5952) | Rot: 0
tree 3: Grid (36, 11) | Pixels (6912, 2112) | Rot: 0
Redhousee: Grid (37, 11) | Pixels (7104, 2112) | Rot: 0
squarehouse: Grid (10, 12) | Pixels (1920, 2304) | Rot: 0
building 2: Grid (20, 12) | Pixels (3840, 2304) | Rot: 0
tree 2: Grid (25, 12) | Pixels (4800, 2304) | Rot: 0
building 2: Grid (29, 12) | Pixels (5568, 2304) | Rot: 0
smallhouse12: Grid (30, 12) | Pixels (5760, 2304) | Rot: 0
apartment2: Grid (31, 12) | Pixels (5952, 2304) | Rot: 0
smallhouseee: Grid (34, 12) | Pixels (6528, 2304) | Rot: 0
smallhouse12: Grid (35, 12) | Pixels (6720, 2304) | Rot: 0
tree 3: Grid (36, 12) | Pixels (6912, 2304) | Rot: 0
tree 3: Grid (39, 12) | Pixels (7488, 2304) | Rot: 0
tree 1: Grid (1, 13) | Pixels (192, 2496) | Rot: 0
squarehouse: Grid (3, 13) | Pixels (576, 2496) | Rot: 0
smallhouse: Grid (4, 13) | Pixels (768, 2496) | Rot: 0
big house: Grid (5, 13) | Pixels (960, 2496) | Rot: 0
HOuseee: Grid (8, 13) | Pixels (1536, 2496) | Rot: 0
building 1: Grid (13, 13) | Pixels (2496, 2496) | Rot: 0
tree 2: Grid (40, 13) | Pixels (7680, 2496) | Rot: 0
tree 3: Grid (5, 14) | Pixels (960, 2688) | Rot: 0
HOuseee: Grid (7, 14) | Pixels (1344, 2688) | Rot: 0
buildingg: Grid (10, 14) | Pixels (1920, 2688) | Rot: 0
HOuseee: Grid (13, 14) | Pixels (2496, 2688) | Rot: 0
smallhouse12: Grid (22, 14) | Pixels (4224, 2688) | Rot: 0
tree 3: Grid (23, 14) | Pixels (4416, 2688) | Rot: 0
kindahouse: Grid (25, 14) | Pixels (4800, 2688) | Rot: 0
building 1: Grid (4, 15) | Pixels (768, 2880) | Rot: 0
smallhouse3: Grid (5, 15) | Pixels (960, 2880) | Rot: 0
tree 2: Grid (7, 15) | Pixels (1344, 2880) | Rot: 0
building 3: Grid (8, 15) | Pixels (1536, 2880) | Rot: 0
tree 2: Grid (10, 15) | Pixels (1920, 2880) | Rot: 0
smallhouse3: Grid (11, 15) | Pixels (2112, 2880) | Rot: 0
apartment: Grid (12, 15) | Pixels (2304, 2880) | Rot: 0
building 2: Grid (15, 15) | Pixels (2880, 2880) | Rot: 0
building 4: Grid (16, 15) | Pixels (3072, 2880) | Rot: 0
tree 1: Grid (25, 15) | Pixels (4800, 2880) | Rot: 0
smallhouse: Grid (37, 15) | Pixels (7104, 2880) | Rot: 0
tree 3: Grid (0, 16) | Pixels (0, 3072) | Rot: 0
smallhouseee: Grid (23, 16) | Pixels (4416, 3072) | Rot: 0
tree 2: Grid (24, 16) | Pixels (4608, 3072) | Rot: 0
smallhouse3: Grid (25, 16) | Pixels (4800, 3072) | Rot: 0
Redhousee: Grid (27, 16) | Pixels (5184, 3072) | Rot: 0
tree 1: Grid (28, 16) | Pixels (5376, 3072) | Rot: 0
building 4: Grid (37, 16) | Pixels (7104, 3072) | Rot: 0
tree 1: Grid (0, 17) | Pixels (0, 3264) | Rot: 0
smallhouse: Grid (3, 17) | Pixels (576, 3264) | Rot: 0
tree 1: Grid (5, 17) | Pixels (960, 3264) | Rot: 0
kindahouse: Grid (7, 17) | Pixels (1344, 3264) | Rot: 0
Redhousee: Grid (8, 17) | Pixels (1536, 3264) | Rot: 0
kindahouse: Grid (10, 17) | Pixels (1920, 3264) | Rot: 0
building 1: Grid (11, 17) | Pixels (2112, 3264) | Rot: 0
building 4: Grid (12, 17) | Pixels (2304, 3264) | Rot: 0
apartment: Grid (13, 17) | Pixels (2496, 3264) | Rot: 0
buildingg: Grid (15, 17) | Pixels (2880, 3264) | Rot: 0
squarehouse: Grid (16, 17) | Pixels (3072, 3264) | Rot: 0
Redhousee: Grid (17, 17) | Pixels (3264, 3264) | Rot: 0
buildingg: Grid (18, 17) | Pixels (3456, 3264) | Rot: 0
smallhouse: Grid (20, 17) | Pixels (3840, 3264) | Rot: 0
squarehouse: Grid (27, 17) | Pixels (5184, 3264) | Rot: 0
kindahouse: Grid (28, 17) | Pixels (5376, 3264) | Rot: 0
apartment: Grid (36, 17) | Pixels (6912, 3264) | Rot: 0
squarehouse: Grid (37, 17) | Pixels (7104, 3264) | Rot: 0
tree 3: Grid (0, 18) | Pixels (0, 3456) | Rot: 0
smallhouse3: Grid (3, 18) | Pixels (576, 3456) | Rot: 0
building 4: Grid (5, 18) | Pixels (960, 3456) | Rot: 0
tree 3: Grid (7, 18) | Pixels (1344, 3456) | Rot: 0
tree 2: Grid (10, 18) | Pixels (1920, 3456) | Rot: 0
building 2: Grid (15, 18) | Pixels (2880, 3456) | Rot: 0
tree 1: Grid (17, 18) | Pixels (3264, 3456) | Rot: 0
tree 1: Grid (18, 18) | Pixels (3456, 3456) | Rot: 0
squarehouse: Grid (20, 18) | Pixels (3840, 3456) | Rot: 0
apartment: Grid (22, 18) | Pixels (4224, 3456) | Rot: 0
building 4: Grid (23, 18) | Pixels (4416, 3456) | Rot: 0
squarehouse: Grid (24, 18) | Pixels (4608, 3456) | Rot: 0
tree 3: Grid (36, 18) | Pixels (6912, 3456) | Rot: 0
HOuseee: Grid (37, 18) | Pixels (7104, 3456) | Rot: 0
tree 2: Grid (0, 19) | Pixels (0, 3648) | Rot: 0
big house: Grid (3, 19) | Pixels (576, 3648) | Rot: 0
buildingg: Grid (5, 19) | Pixels (960, 3648) | Rot: 0
Redhousee: Grid (7, 19) | Pixels (1344, 3648) | Rot: 0
smallhouse12: Grid (8, 19) | Pixels (1536, 3648) | Rot: 0
tree 2: Grid (16, 19) | Pixels (3072, 3648) | Rot: 0
building 1: Grid (17, 19) | Pixels (3264, 3648) | Rot: 0
Redhousee: Grid (18, 19) | Pixels (3456, 3648) | Rot: 0
big house: Grid (19, 19) | Pixels (3648, 3648) | Rot: 0
building 1: Grid (20, 19) | Pixels (3840, 3648) | Rot: 0
smallhouse: Grid (22, 19) | Pixels (4224, 3648) | Rot: 0
building 4: Grid (25, 19) | Pixels (4800, 3648) | Rot: 0
tree 2: Grid (29, 19) | Pixels (5568, 3648) | Rot: 0
HOuseee: Grid (30, 19) | Pixels (5760, 3648) | Rot: 0
building 3: Grid (31, 19) | Pixels (5952, 3648) | Rot: 0
smallhouseee: Grid (33, 19) | Pixels (6336, 3648) | Rot: 0
tree 1: Grid (39, 19) | Pixels (7488, 3648) | Rot: 0
tree 2: Grid (3, 20) | Pixels (576, 3840) | Rot: 0
building 3: Grid (4, 20) | Pixels (768, 3840) | Rot: 0
tree 1: Grid (5, 20) | Pixels (960, 3840) | Rot: 0
tree 3: Grid (7, 20) | Pixels (1344, 3840) | Rot: 0
tree 2: Grid (8, 20) | Pixels (1536, 3840) | Rot: 0
building 1: Grid (10, 20) | Pixels (1920, 3840) | Rot: 0
smallhouse12: Grid (12, 20) | Pixels (2304, 3840) | Rot: 0
squarehouse: Grid (13, 20) | Pixels (2496, 3840) | Rot: 0
HOuseee: Grid (25, 20) | Pixels (4800, 3840) | Rot: 0
kindahouse: Grid (31, 20) | Pixels (5952, 3840) | Rot: 0
buildingg: Grid (34, 20) | Pixels (6528, 3840) | Rot: 0
kindahouse: Grid (36, 20) | Pixels (6912, 3840) | Rot: 0
building 1: Grid (37, 20) | Pixels (7104, 3840) | Rot: 0
tree 2: Grid (40, 20) | Pixels (7680, 3840) | Rot: 0
tree 2: Grid (0, 21) | Pixels (0, 4032) | Rot: 0
kindahouse: Grid (15, 21) | Pixels (2880, 4032) | Rot: 0
smallhouse: Grid (16, 21) | Pixels (3072, 4032) | Rot: 0
tree 1: Grid (17, 21) | Pixels (3264, 4032) | Rot: 0
apartment: Grid (19, 21) | Pixels (3648, 4032) | Rot: 0
tree 1: Grid (27, 21) | Pixels (5184, 4032) | Rot: 0
tree 2: Grid (30, 21) | Pixels (5760, 4032) | Rot: 0
building 2: Grid (31, 21) | Pixels (5952, 4032) | Rot: 0
tree 2: Grid (40, 21) | Pixels (7680, 4032) | Rot: 0
tree 2: Grid (3, 22) | Pixels (576, 4224) | Rot: 0
building 1: Grid (4, 22) | Pixels (768, 4224) | Rot: 0
HOuseee: Grid (6, 22) | Pixels (1152, 4224) | Rot: 0
tree 3: Grid (10, 22) | Pixels (1920, 4224) | Rot: 0
tree 2: Grid (11, 22) | Pixels (2112, 4224) | Rot: 0
tree 1: Grid (12, 22) | Pixels (2304, 4224) | Rot: 0
building 3: Grid (13, 22) | Pixels (2496, 4224) | Rot: 0
building 1: Grid (15, 22) | Pixels (2880, 4224) | Rot: 0
smallhouse: Grid (20, 22) | Pixels (3840, 4224) | Rot: 0
HOuseee: Grid (22, 22) | Pixels (4224, 4224) | Rot: 0
apartment2: Grid (23, 22) | Pixels (4416, 4224) | Rot: 0
apartment: Grid (28, 22) | Pixels (5376, 4224) | Rot: 0
smallhouse3: Grid (29, 22) | Pixels (5568, 4224) | Rot: 0
smallhouse: Grid (33, 22) | Pixels (6336, 4224) | Rot: 0
apartment: Grid (34, 22) | Pixels (6528, 4224) | Rot: 0
building 4: Grid (35, 22) | Pixels (6720, 4224) | Rot: 0
building 2: Grid (36, 22) | Pixels (6912, 4224) | Rot: 0
squarehouse: Grid (37, 22) | Pixels (7104, 4224) | Rot: 0
tree 1: Grid (40, 22) | Pixels (7680, 4224) | Rot: 0
tree 3: Grid (1, 23) | Pixels (192, 4416) | Rot: 0
smallhouse: Grid (3, 23) | Pixels (576, 4416) | Rot: 0
HOuseee: Grid (4, 23) | Pixels (768, 4416) | Rot: 0
Redhousee: Grid (7, 23) | Pixels (1344, 4416) | Rot: 0
apartment2: Grid (9, 23) | Pixels (1728, 4416) | Rot: 0
tree 3: Grid (10, 23) | Pixels (1920, 4416) | Rot: 0
tree 3: Grid (11, 23) | Pixels (2112, 4416) | Rot: 0
tree 3: Grid (12, 23) | Pixels (2304, 4416) | Rot: 0
building 2: Grid (13, 23) | Pixels (2496, 4416) | Rot: 0
squarehouse: Grid (16, 23) | Pixels (3072, 4416) | Rot: 0
smallhouse: Grid (17, 23) | Pixels (3264, 4416) | Rot: 0
smallhouse: Grid (18, 23) | Pixels (3456, 4416) | Rot: 0
smallhouse3: Grid (19, 23) | Pixels (3648, 4416) | Rot: 0
building 2: Grid (20, 23) | Pixels (3840, 4416) | Rot: 0
smallhouse12: Grid (22, 23) | Pixels (4224, 4416) | Rot: 0
smallhouse: Grid (23, 23) | Pixels (4416, 4416) | Rot: 0
buildingg: Grid (24, 23) | Pixels (4608, 4416) | Rot: 0
Redhousee: Grid (25, 23) | Pixels (4800, 4416) | Rot: 0
smallhouse3: Grid (33, 23) | Pixels (6336, 4416) | Rot: 0
building 2: Grid (35, 23) | Pixels (6720, 4416) | Rot: 0
smallhouse12: Grid (36, 23) | Pixels (6912, 4416) | Rot: 0
HOuseee: Grid (37, 23) | Pixels (7104, 4416) | Rot: 0
tree 2: Grid (1, 24) | Pixels (192, 4608) | Rot: 0
tree 1: Grid (3, 24) | Pixels (576, 4608) | Rot: 0
HOuseee: Grid (4, 24) | Pixels (768, 4608) | Rot: 0
tree 3: Grid (6, 24) | Pixels (1152, 4608) | Rot: 0
smallhouseee: Grid (7, 24) | Pixels (1344, 4608) | Rot: 0
kindahouse: Grid (9, 24) | Pixels (1728, 4608) | Rot: 0
apartment2: Grid (13, 24) | Pixels (2496, 4608) | Rot: 0
smallhouseee: Grid (27, 24) | Pixels (5184, 4608) | Rot: 0
smallhouse12: Grid (28, 24) | Pixels (5376, 4608) | Rot: 0
smallhouse12: Grid (31, 24) | Pixels (5952, 4608) | Rot: 0
building 3: Grid (3, 25) | Pixels (576, 4800) | Rot: 0
HOuseee: Grid (4, 25) | Pixels (768, 4800) | Rot: 0
apartment: Grid (7, 25) | Pixels (1344, 4800) | Rot: 0
smallhouse: Grid (9, 25) | Pixels (1728, 4800) | Rot: 0
building 3: Grid (10, 25) | Pixels (1920, 4800) | Rot: 0
tree 1: Grid (11, 25) | Pixels (2112, 4800) | Rot: 0
apartment: Grid (13, 25) | Pixels (2496, 4800) | Rot: 0
building 4: Grid (15, 25) | Pixels (2880, 4800) | Rot: 0
tree 2: Grid (16, 25) | Pixels (3072, 4800) | Rot: 0
big house: Grid (17, 25) | Pixels (3264, 4800) | Rot: 0
smallhouse: Grid (18, 25) | Pixels (3456, 4800) | Rot: 0
HOuseee: Grid (19, 25) | Pixels (3648, 4800) | Rot: 0
big house: Grid (20, 25) | Pixels (3840, 4800) | Rot: 0
apartment: Grid (22, 25) | Pixels (4224, 4800) | Rot: 0
buildingg: Grid (23, 25) | Pixels (4416, 4800) | Rot: 0
Redhousee: Grid (24, 25) | Pixels (4608, 4800) | Rot: 0
building 3: Grid (27, 25) | Pixels (5184, 4800) | Rot: 0
smallhouseee: Grid (28, 25) | Pixels (5376, 4800) | Rot: 0
apartment2: Grid (30, 25) | Pixels (5760, 4800) | Rot: 0
tree 1: Grid (31, 25) | Pixels (5952, 4800) | Rot: 0
tree 2: Grid (40, 25) | Pixels (7680, 4800) | Rot: 0
smallhouse12: Grid (15, 26) | Pixels (2880, 4992) | Rot: 0
tree 3: Grid (17, 26) | Pixels (3264, 4992) | Rot: 0
apartment2: Grid (20, 26) | Pixels (3840, 4992) | Rot: 0
smallhouse12: Grid (25, 26) | Pixels (4800, 4992) | Rot: 0
buildingg: Grid (27, 26) | Pixels (5184, 4992) | Rot: 0
building 3: Grid (30, 26) | Pixels (5760, 4992) | Rot: 0
building 2: Grid (31, 26) | Pixels (5952, 4992) | Rot: 0
building 3: Grid (33, 26) | Pixels (6336, 4992) | Rot: 0
smallhouse12: Grid (37, 26) | Pixels (7104, 4992) | Rot: 0
tree 3: Grid (40, 26) | Pixels (7680, 4992) | Rot: 0
HOuseee: Grid (3, 27) | Pixels (576, 5184) | Rot: 0
buildingg: Grid (4, 27) | Pixels (768, 5184) | Rot: 0
buildingg: Grid (7, 27) | Pixels (1344, 5184) | Rot: 0
building 2: Grid (9, 27) | Pixels (1728, 5184) | Rot: 0
building 3: Grid (10, 27) | Pixels (1920, 5184) | Rot: 0
smallhouse12: Grid (12, 27) | Pixels (2304, 5184) | Rot: 0
building 2: Grid (15, 27) | Pixels (2880, 5184) | Rot: 0
building 3: Grid (16, 27) | Pixels (3072, 5184) | Rot: 0
smallhouse: Grid (17, 27) | Pixels (3264, 5184) | Rot: 0
smallhouseee: Grid (18, 27) | Pixels (3456, 5184) | Rot: 0
building 2: Grid (22, 27) | Pixels (4224, 5184) | Rot: 0
tree 2: Grid (24, 27) | Pixels (4608, 5184) | Rot: 0
Redhousee: Grid (25, 27) | Pixels (4800, 5184) | Rot: 0
kindahouse: Grid (28, 27) | Pixels (5376, 5184) | Rot: 0
tree 1: Grid (33, 27) | Pixels (6336, 5184) | Rot: 0
tree 2: Grid (34, 27) | Pixels (6528, 5184) | Rot: 0
apartment: Grid (35, 27) | Pixels (6720, 5184) | Rot: 0
smallhouse3: Grid (37, 27) | Pixels (7104, 5184) | Rot: 0
tree 1: Grid (0, 28) | Pixels (0, 5376) | Rot: 0
big house: Grid (3, 28) | Pixels (576, 5376) | Rot: 0
tree 2: Grid (4, 28) | Pixels (768, 5376) | Rot: 0
tree 2: Grid (6, 28) | Pixels (1152, 5376) | Rot: 0
tree 1: Grid (8, 28) | Pixels (1536, 5376) | Rot: 0
tree 1: Grid (9, 28) | Pixels (1728, 5376) | Rot: 0
tree 2: Grid (10, 28) | Pixels (1920, 5376) | Rot: 0
building 4: Grid (12, 28) | Pixels (2304, 5376) | Rot: 0
tree 1: Grid (3, 29) | Pixels (576, 5568) | Rot: 0
tree 3: Grid (4, 29) | Pixels (768, 5568) | Rot: 0
tree 1: Grid (5, 29) | Pixels (960, 5568) | Rot: 0
tree 1: Grid (7, 29) | Pixels (1344, 5568) | Rot: 0
